Name,Store,Category,Price,Image URL,Product URL,Description
"Banana Loaf Cake, Sliced",Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/21542160/b3/en/front/21542160_front_a06_@2.png,https://www.loblaws.ca/banana-loaf-cake-sliced/p/21542160_EA?source=nspt,Product Number: 21542160_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Cinnamon Swirl Iced Loaf Cake,Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/21489018/b3/en/front/21489018_front_a06_@2.png,https://www.loblaws.ca/cinnamon-swirl-iced-loaf-cake/p/21489018_EA?source=nspt,"Indulge in a moist and flavourful piece of Cinnamon Swirl Iced Loaf Cake. Delicious swirls of cinnamon and sweet icing on top, this loaf cake is best served with a steaming cup of hot chocolate, coffee, or tea. Product Number: 21489018_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
Lemon Poppyseed Iced Loaf Cake,Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/21488954/b3/en/front/21488954_front_a06_@2.png,https://www.loblaws.ca/lemon-poppyseed-iced-loaf-cake/p/21488954_EA?source=nspt,"Serve Lemon Poppyseed Iced Loaf Cake at family dinners for dessert with a warm cup of coffee, tea, or hot chocolate. The loaf cake is moist, speckled with yummy poppy seeds, and iced to perfection. Product Number: 21488954_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
"Loaf Cake, Banana",Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/20565382/b3/en/front/20565382_front_a06_@2.png,https://www.loblaws.ca/loaf-cake-banana/p/20565382_EA?source=nspt,Loaf cakes are versatile cakes that are baked in loaf pans. They can be sweet or savoury and served with breakfast or as an afternoon snack. Banana loaf cake combines sweet batter with ripe bananas. Product Number: 20565382_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
"Sliced Loaf Cake, Marble",Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/21542157/b3/en/front/21542157_front_a06_@2.png,https://www.loblaws.ca/sliced-loaf-cake-marble/p/21542157_EA?source=nspt,Product Number: 21542157_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
"Loaf Cake, Cinnamon Swirl",Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/20610846/b3/en/front/20610846_front_a06_@2.png,https://www.loblaws.ca/loaf-cake-cinnamon-swirl/p/20610846_EA?source=nspt,Loaf cakes are versatile cakes that are baked in loaf pans. They can be sweet or savoury and served with breakfast or as an afternoon snack. Cinnamon swirl loaf cake combines sweet batter with cinnamon and brown sugar. Product Number: 20610846_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Vanilla Sunny Shell Cakes,Loblaws,Bakery,3.69,https://assets.shop.loblaws.ca/products/21425857/b3/en/front/21425857_front_a06_@2.png,https://www.loblaws.ca/vanilla-sunny-shell-cakes/p/21425857_EA?source=nspt,Product Number: 21425857_EA DISCLAIMER
"Loaf Cake, Golden",Loblaws,Bakery,6.29,https://assets.shop.loblaws.ca/products/20611092/b3/en/front/20611092_front_a06_@2.png,https://www.loblaws.ca/loaf-cake-golden/p/20611092_EA?source=nspt,Loaf cakes are versatile cakes that are baked in loaf pans. They can be sweet or savoury and served with breakfast or as an afternoon snack. Product Number: 20611092_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Mini Angel Food Cakes,Loblaws,Bakery,7.29,https://assets.shop.loblaws.ca/products/21313112/b3/en/front/21313112_front_a06_@2.png,https://www.loblaws.ca/mini-angel-food-cakes/p/21313112_EA?source=nspt,Mini Angel Food Cakes are great served with whipped cream and fresh fruit. These mini sponge cakes are light and fluffy with a golden brown exterior. Product Number: 21313112_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER
Angel Food Cake,Loblaws,Bakery,7.29,https://assets.shop.loblaws.ca/products/21313115/b3/en/front/21313115_front_a06_@2.png,https://www.loblaws.ca/angel-food-cake/p/21313115_EA?source=nspt,"The perfect summer cake, Angel Food Cake is light and fluffy with a golden brown crust. Serve a slice with whipped cream and your favourite berries. Product Number: 21313115_EA NUTRITION FACTS & INGREDIENTS DISCLAIMER"
